epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.33645832538604736,0.0010000000474974513,1.6571203470230103,0.3083333373069763,1.183168888092041
1,0.3619791567325592,0.0010000000474974513,1.3585000038146973,0.3583333194255829,1.1844018697738647
2,0.4364583194255829,0.0010000000474974513,1.216512680053711,0.3583333194255829,1.2847998142242432
3,0.5645833611488342,0.0010000000474974513,1.0097465515136719,0.36250001192092896,1.2367175817489624
4,0.6182291507720947,0.0005000000237487257,0.9275268316268921,0.4000000059604645,1.1815844774246216
5,0.6364583373069763,0.0005000000237487257,0.8666552901268005,0.4791666567325592,1.1104477643966675
6,0.6630208492279053,0.0005000000237487257,0.8158708810806274,0.5416666865348816,1.0725642442703247
7,0.7041666507720947,0.0005000000237487257,0.7523267269134521,0.6208333373069763,0.9142279028892517
8,0.723437488079071,0.0005000000237487257,0.7099483609199524,0.6666666865348816,0.8572914600372314
9,0.7661458253860474,0.0005000000237487257,0.6492269039154053,0.6520833373069763,0.8373398184776306
10,0.7739583253860474,0.0005000000237487257,0.619384765625,0.6625000238418579,0.8769106268882751
11,0.8177083134651184,0.0005000000237487257,0.53562992811203,0.6354166865348816,0.9361602663993835
12,0.8364583253860474,0.0005000000237487257,0.5123525261878967,0.6583333611488342,1.0046354532241821
13,0.8619791865348816,0.0002500000118743628,0.45149099826812744,0.6354166865348816,1.046037197113037
14,0.8755208253860474,0.0002500000118743628,0.4129710793495178,0.612500011920929,1.096136212348938
